symbol,sector,industry,current_price,day_change_pct,low_52w,high_52w,distance_from_low_pct,distance_from_high_pct,rsi,sma50,sma200,avg_volume_20d,latest_volume,volume_ratio,trend,technical_score,technical_reasons,return_1m,return_3m,return_6m,nifty_return_1m,nifty_return_3m,nifty_return_6m,return_vs_nifty_1m,return_vs_nifty_3m,return_vs_nifty_6m,relative_strength_score,relative_strength_reasons,sector_rank_pct,range_status,range_score,range_low,range_high,range_width_pct,range_position_pct,range_reasons,company_name,sector_yf,industry_yf,sector_bucket,market_cap_cr,market_cap_cr_known,trailing_pe,trailing_pe_known,forward_pe,forward_pe_known,price_to_book,price_to_book_known,debt_to_equity,debt_to_equity_known,roe,roe_known,roa,roa_known,operating_margin,operating_margin_known,net_profit_margin,net_profit_margin_known,gross_margin,gross_margin_known,revenue_growth,revenue_growth_known,earnings_growth,earnings_growth_known,current_ratio,current_ratio_known,quick_ratio,quick_ratio_known,total_cash_cr,total_cash_cr_known,total_debt_cr,total_debt_cr_known,free_cashflow_cr,free_cashflow_cr_known,operating_cashflow_cr,operating_cashflow_cr_known,dividend_yield,dividend_yield_known,beta,beta_known,profitability_score,growth_score,balance_sheet_score,cashflow_score,valuation_score,fundamental_score,fundamental_data_coverage,fundamental_reasons,fundamental_risk_reasons,sector_adjustment,sector_adjusted_fundamental_score,sector_adjustment_reasons,sector_score,risk_penalty,risk_reasons,final_score,score_band,reasons,scan_time
GLAND,Healthcare,Drug Manufacturers - Specialty & Generic,2967.6,2.64,1561.8,2988.4,90.01,0.7,78.0,2424.89,1954.23,879101.6,792910.0,0.9,Bullish,57.0,"Above 50 DMA, Above 200 DMA, Strong but overbought RSI, Near 52W high momentum, Strong positive day move",18.21,32.82,64.65,1.34,3.18,-5.69,16.87,29.64,70.34,100.0,"Strong 1M absolute return, Strong 3M absolute return, Strong 6M absolute return, 1M Nifty outperformance, 3M Nifty outperformance, 6M Nifty outperformance, Positive across 1M/3M/6M",6.21,Profit Booking Zone,77.75,1674.48,2499.36,49.26,100.0,80.0% of closes stayed inside the range | Range width 49.3% | Currently 100.0% through the range,Gland Pharma Limited,Healthcare,Drug Manufacturers - Specialty & Generic,Pharma / Healthcare,47695.16,True,42.2505,True,29.9428,True,4.5988,True,2.738,True,10.53,True,6.27,True,22.33,True,15.97,True,59.05,True,22.3,True,96.4,True,4.68,True,3.409,True,3359.11,True,283.59,True,423.19,True,1031.39,True,77.0,True,0.566,True,14.0,18.0,20.0,17.0,9.0,78.0,1.0,Cash covers debt,,2.0,80.0,General low-debt support,45.62,0.0,,74.09,Strong,"Above 50 DMA, Above 200 DMA, Strong but overbought RSI, Near 52W high momentum, Strong positive day move, Cash covers debt, Strong 1M absolute return, Strong 3M absolute return, Strong 6M absolute return, 1M Nifty outperformance, 3M Nifty outperformance, 6M Nifty outperformance, Positive across 1M/3M/6M, 80.0% of closes stayed inside the range | Range width 49.3% | Currently 100.0% through the range",2026-08-13 23:01 IST
SOLARINDS,Basic Materials,Specialty Chemicals,20324.0,8.51,11639.12,20400.0,74.62,0.37,72.25,18229.4,15057.79,108435.5,703297.0,6.49,Bullish,72.0,"Above 50 DMA, Above 200 DMA, Strong but overbought RSI, Near 52W high momentum, Strong volume expansion, Strong positive day move",12.01,22.03,51.89,1.34,3.18,-5.69,10.67,18.85,57.58,100.0,"Strong 1M absolute return, Strong 3M absolute return, Strong 6M absolute return, 1M Nifty outperformance, 3M Nifty outperformance, 6M Nifty outperformance, Positive across 1M/3M/6M",3.25,Breakout Watch,82.28,13294.44,18619.5,40.05,100.0,80.0% of closes stayed inside the range | Range width 40.1% | Currently 100.0% through the range | Above upper band on elevated volume,Solar Industries India Limited,Basic Materials,Specialty Chemicals,Chemicals,169487.88,True,100.7965,True,56.2038,True,27.0006,True,23.271,True,31.23,True,15.56,True,25.4,True,17.05,True,49.2,True,40.9,True,70.0,True,2.057,True,1.006,True,480.63,True,1524.02,True,-1405.69,True,620.87,True,6.0,True,0.238,True,24.0,20.0,14.0,9.0,5.0,72.0,1.0,Strong ROE,"Negative free cash flow, Very high PE",4.0,76.0,"General quality ROE, General low-debt support",37.94,4.0,Negative free cash flow,71.29,Strong,"Above 50 DMA, Above 200 DMA, Strong but overbought RSI, Near 52W high momentum, Strong volume expansion, Strong positive day move, Strong ROE, Strong 1M absolute return, Strong 3M absolute return, Strong 6M absolute return, 1M Nifty outperformance, 3M Nifty outperformance, 6M Nifty outperformance, Positive across 1M/3M/6M, 80.0% of closes stayed inside the range | Range width 40.1% | Currently 100.0% through the range | Above upper band on elevated volume",2026-08-13 23:01 IST
OFSS,Technology,Software - Infrastructure,11420.0,-2.22,6060.86,11968.0,88.42,4.58,52.01,10808.88,8523.99,421189.25,116572.0,0.28,Bullish,60.0,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum",-1.94,26.68,60.0,1.34,3.18,-5.69,-3.28,23.5,65.69,70.0,"Strong 3M absolute return, Strong 6M absolute return, 3M Nifty outperformance, 6M Nifty outperformance",22.04,Profit Booking Zone,73.2,6465.81,11625.7,79.8,96.01,80.0% of closes stayed inside the range | Range width 79.8% | Currently 96.0% through the range,Oracle Financial Services Software Limited,Technology,Software - Infrastructure,IT / Technology,101695.49,True,30.3951,True,25.7616,True,14.6798,True,0.567,True,49.9,True,30.94,True,59.57,True,38.15,True,58.6,True,68.7,True,120.2,True,4.413,True,3.946,True,4773.4,True,39.3,True,3088.42,True,3601.2,True,5.59,True,0.496,True,25.0,20.0,20.0,17.0,9.0,91.0,1.0,"Strong ROE, Cash covers debt",,10.0,100.0,"Strong ROE for an asset-light business, Strong operating margin",39.02,3.0,Low volume participation,70.35,Strong,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Strong ROE, Cash covers debt, Strong 3M absolute return, Strong 6M absolute return, 3M Nifty outperformance, 6M Nifty outperformance, 80.0% of closes stayed inside the range | Range width 79.8% | Currently 96.0% through the range",2026-08-13 23:01 IST
3MINDIA,Industrials,Conglomerates,36165.0,0.64,28319.86,37487.1,27.7,3.53,61.79,33957.91,33455.49,3551.35,4039.0,1.14,Bullish,70.0,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Normal volume support, Positive day move",0.41,17.42,0.56,1.34,3.18,-5.69,-0.93,14.24,6.25,53.0,"Positive 1M return, Positive 3M return, Positive 6M return, 3M Nifty outperformance, Positive across 1M/3M/6M",31.77,Profit Booking Zone,85.35,30746.71,35910.93,16.8,100.0,80.0% of closes stayed inside the range | Range width 16.8% | Currently 100.0% through the range,3M India Limited,Industrials,Conglomerates,Capital Goods / Infra,40481.03,True,77.736,True,47.6971,True,22.8946,True,9.6,True,28.9,True,19.42,True,19.53,True,10.26,True,41.86,True,16.8,True,200.4,True,2.182,True,1.419,True,812.14,True,169.75,True,487.23,True,513.72,True,44.0,True,0.273,True,21.0,18.0,19.0,17.0,5.0,80.0,1.0,"Strong ROE, Cash covers debt",,5.0,85.0,Strong order-book-driven revenue growth,38.1,0.0,,66.22,Strong,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Normal volume support, Positive day move, Strong ROE, Cash covers debt, Positive 1M return, Positive 3M return, Positive 6M return, 3M Nifty outperformance, Positive across 1M/3M/6M, 80.0% of closes stayed inside the range | Range width 16.8% | Currently 100.0% through the range",2026-08-13 23:01 IST
ABB,Industrials,Specialty Industrial Machinery,7710.0,0.0,4564.87,7832.29,68.9,1.56,66.06,7129.85,6102.53,477308.3,131075.0,0.27,Bullish,60.0,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum",13.19,22.25,33.44,1.34,3.18,-5.69,11.85,19.07,39.13,100.0,"Strong 1M absolute return, Strong 3M absolute return, Strong 6M absolute return, 1M Nifty outperformance, 3M Nifty outperformance, 6M Nifty outperformance, Positive across 1M/3M/6M",4.05,Profit Booking Zone,82.05,5967.95,7445.61,24.76,100.0,80.0% of closes stayed inside the range | Range width 24.8% | Currently 100.0% through the range,ABB India Limited,Industrials,Specialty Industrial Machinery,Capital Goods / Infra,163381.35,True,102.0381,True,73.5122,True,17.5008,True,1.547,True,19.13,True,7.91,True,11.46,True,21.35,True,37.28,True,12.1,True,3.0,True,2.193,True,1.691,True,7335.52,True,144.52,True,1082.38,True,1470.96,True,52.0,True,0.486,True,17.0,7.0,20.0,17.0,5.0,66.0,1.0,"Strong ROE, Cash covers debt",Very high PE,0.0,66.0,,38.1,3.0,Low volume participation,65.82,Strong,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Strong ROE, Cash covers debt, Strong 1M absolute return, Strong 3M absolute return, Strong 6M absolute return, 1M Nifty outperformance, 3M Nifty outperformance, 6M Nifty outperformance, Positive across 1M/3M/6M, 80.0% of closes stayed inside the range | Range width 24.8% | Currently 100.0% through the range",2026-08-13 23:01 IST
IPCALAB,Healthcare,Drug Manufacturers - Specialty & Generic,1796.3,1.68,1247.27,1938.17,44.02,7.32,57.05,1697.9,1523.86,309007.95,1834985.0,5.94,Bullish,80.0,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Strong volume expansion, Positive day move",-1.14,13.8,24.14,1.34,3.18,-5.69,-2.48,10.62,29.83,50.0,"Positive 3M return, Positive 6M return, 3M Nifty outperformance, 6M Nifty outperformance",48.97,Profit Booking Zone,86.87,1468.32,1771.58,20.65,100.0,80.0% of closes stayed inside the range | Range width 20.7% | Currently 100.0% through the range,Ipca Laboratories Limited,Healthcare,Drug Manufacturers - Specialty & Generic,Pharma / Healthcare,44819.39,True,39.3189,True,26.9068,True,5.5581,True,8.492,True,13.22,True,8.42,True,18.48,True,11.83,True,67.23,True,6.3,True,341.6,True,2.764,True,1.48,True,1195.58,True,808.76,True,790.13,True,1141.97,True,34.0,True,0.035,True,16.0,12.0,19.0,17.0,9.0,73.0,1.0,Cash covers debt,,2.0,75.0,General low-debt support,45.62,0.0,,65.59,Strong,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Strong volume expansion, Positive day move, Cash covers debt, Positive 3M return, Positive 6M return, 3M Nifty outperformance, 6M Nifty outperformance, 80.0% of closes stayed inside the range | Range width 20.7% | Currently 100.0% through the range",2026-08-13 23:01 IST
ENDURANCE,Consumer Cyclical,Auto Parts,2975.3,-1.47,2134.01,3067.27,39.42,3.0,67.56,2700.69,2574.04,141038.15,143773.0,1.02,Bullish,65.0,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Normal volume support",8.11,17.38,16.81,1.34,3.18,-5.69,6.77,14.2,22.5,78.0,"Positive 1M return, Positive 3M return, Positive 6M return, 1M Nifty outperformance, 3M Nifty outperformance, 6M Nifty outperformance, Positive across 1M/3M/6M",20.7,Profit Booking Zone,83.96,2318.45,2759.66,19.03,100.0,80.0% of closes stayed inside the range | Range width 19.0% | Currently 100.0% through the range,Endurance Technologies Limited,Consumer Cyclical,Auto Parts,Automobile,42475.96,True,44.723,True,30.1333,True,6.2092,True,19.393,True,15.16,True,7.41,True,8.71,True,6.52,True,42.33,True,37.9,True,12.7,True,1.553,True,1.171,True,1889.37,True,1326.66,True,167.33,True,1850.72,True,38.0,True,0.723,True,9.0,15.0,18.0,17.0,7.0,66.0,1.0,Cash covers debt,,2.0,68.0,General low-debt support,37.82,0.0,,65.22,Strong,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Normal volume support, Cash covers debt, Positive 1M return, Positive 3M return, Positive 6M return, 1M Nifty outperformance, 3M Nifty outperformance, 6M Nifty outperformance, Positive across 1M/3M/6M, 80.0% of closes stayed inside the range | Range width 19.0% | Currently 100.0% through the range",2026-08-13 23:01 IST
CPPLUS,Industrials,Building Products & Equipment,3704.2,-5.0,1046.18,4094.0,254.07,9.52,55.66,3557.06,2233.1,205206.05,635398.0,3.1,Bullish,75.0,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Strong volume expansion",-2.48,56.03,139.68,1.34,3.18,-5.69,-3.82,52.85,145.37,70.0,"Strong 3M absolute return, Strong 6M absolute return, 3M Nifty outperformance, 6M Nifty outperformance",22.03,Profit Booking Zone,73.92,1642.98,3638.23,121.44,100.0,80.0% of closes stayed inside the range | Range width 121.4% | Currently 100.0% through the range,ADITYA INFOTECH LIMITED,Industrials,Building Products & Equipment,Capital Goods / Infra,46126.52,True,121.9612,True,54.5024,True,24.4722,True,9.604,True,25.42,True,8.96,True,16.7,True,8.72,True,28.68,True,45.5,True,187.0,True,1.533,True,0.877,True,288.23,True,180.26,True,-28.53,True,13.47,True,4.0,True,,False,18.0,20.0,16.0,9.0,5.0,68.0,1.0,"Strong ROE, Cash covers debt","Negative free cash flow, Very high PE",5.0,73.0,Strong order-book-driven revenue growth,38.1,4.0,Negative free cash flow,63.52,Watchlist,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Strong volume expansion, Strong ROE, Cash covers debt, Strong 3M absolute return, Strong 6M absolute return, 3M Nifty outperformance, 6M Nifty outperformance, 80.0% of closes stayed inside the range | Range width 121.4% | Currently 100.0% through the range",2026-08-13 23:01 IST
ASTRAL,Industrials,Building Products & Equipment,1592.0,8.74,1268.87,1768.7,25.47,9.99,72.46,1454.0,1505.66,1077521.05,12370793.0,11.48,Bullish,72.0,"Above 50 DMA, Above 200 DMA, Strong but overbought RSI, Near 52W high momentum, Strong volume expansion, Strong positive day move",19.62,1.97,6.8,1.34,3.18,-5.69,18.28,-1.21,12.49,55.0,"Strong 1M absolute return, Positive 3M return, Positive 6M return, 1M Nifty outperformance, Positive across 1M/3M/6M",30.25,Profit Booking Zone,82.27,1377.72,1647.41,19.58,79.45,80.0% of closes stayed inside the range | Range width 19.6% | Currently 79.5% through the range,Astral Limited,Industrials,Building Products & Equipment,Capital Goods / Infra,39330.39,True,73.3834,True,43.7432,True,9.6923,True,6.168,True,13.8,True,8.86,True,14.79,True,8.17,True,39.36,True,24.2,True,18.8,True,1.762,True,0.955,True,944.6,True,250.3,True,479.59,True,1117.0,True,28.0,True,0.166,True,14.0,16.0,16.0,17.0,5.0,68.0,1.0,Cash covers debt,,5.0,73.0,Strong order-book-driven revenue growth,38.1,0.0,,63.02,Watchlist,"Above 50 DMA, Above 200 DMA, Strong but overbought RSI, Near 52W high momentum, Strong volume expansion, Strong positive day move, Cash covers debt, Strong 1M absolute return, Positive 3M return, Positive 6M return, 1M Nifty outperformance, Positive across 1M/3M/6M, 80.0% of closes stayed inside the range | Range width 19.6% | Currently 79.5% through the range",2026-08-13 23:01 IST
LENSKART,Healthcare,Medical Instruments & Supplies,596.9,1.78,356.1,626.95,67.62,4.79,72.09,537.6,,5472590.95,32158446.0,5.88,Bullish,52.0,"Above 50 DMA, Strong but overbought RSI, Near 52W high momentum, Strong volume expansion, Positive day move",11.85,21.15,16.35,1.34,3.18,-5.69,10.51,17.97,22.04,95.0,"Strong 1M absolute return, Strong 3M absolute return, Positive 6M return, 1M Nifty outperformance, 3M Nifty outperformance, 6M Nifty outperformance, Positive across 1M/3M/6M",16.21,Breakout Watch,81.94,489.81,559.83,14.3,100.0,80.0% of closes stayed inside the range | Range width 14.3% | Currently 100.0% through the range | Above upper band on elevated volume,LENSKART SOLUTIONS LTD,Healthcare,Medical Instruments & Supplies,Pharma / Healthcare,101540.31,True,202.9239,True,90.5133,True,11.6533,True,34.983,True,6.65,True,3.86,True,12.52,True,5.6,True,68.39,True,45.6,True,-9.6,True,2.261,True,1.568,True,3674.03,True,3096.6,True,766.92,True,1669.59,True,,False,,False,3.0,10.0,18.0,17.0,3.0,51.0,0.93,Cash covers debt,"Earnings contraction, Very high PE",2.0,53.0,General low-debt support,45.62,0.0,,62.14,Watchlist,"Above 50 DMA, Strong but overbought RSI, Near 52W high momentum, Strong volume expansion, Positive day move, Cash covers debt, Strong 1M absolute return, Strong 3M absolute return, Positive 6M return, 1M Nifty outperformance, 3M Nifty outperformance, 6M Nifty outperformance, Positive across 1M/3M/6M, 80.0% of closes stayed inside the range | Range width 14.3% | Currently 100.0% through the range | Above upper band on elevated volume",2026-08-13 23:01 IST
