symbol,sector,industry,current_price,day_change_pct,distance_from_low_pct,distance_from_high_pct,rsi,sma50,sma200,volume_ratio,trend,technical_score,technical_reasons,relative_strength_score,return_1m,return_3m,return_6m,sector_bucket,fundamental_score,sector_adjustment,sector_adjusted_fundamental_score,debt_to_equity,net_profit_margin,revenue_growth,earnings_growth,operating_cashflow_cr,free_cashflow_cr,fundamental_data_coverage,sector_score,risk_penalty,risk_reasons,final_score,score_band,reasons
OFSS,Technology,Software - Infrastructure,11186.0,0.45,84.56,6.62,53.42,10569.65,8402.85,0.63,Bullish,65.0,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Positive day move",8.0,1.82,,,IT / Technology,91.0,10.0,100.0,0.57,38.15,68.7,120.2,3601.2,3088.42,1.0,28.29,0.0,,57.49,Watchlist,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Positive day move"
3MINDIA,Industrials,Conglomerates,34615.0,-0.93,22.23,7.66,50.85,33439.22,33199.71,1.56,Bullish,75.0,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Near 52W low zone, Volume expansion",8.0,1.93,,,Capital Goods / Infra,80.0,5.0,85.0,9.6,10.26,16.8,200.4,513.72,487.23,1.0,27.02,0.0,,54.55,Neutral,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Near 52W low zone, Volume expansion"
GLAND,Healthcare,Drug Manufacturers - Specialty & Generic,2502.9,-0.56,59.06,3.21,57.88,2365.31,1933.64,0.55,Bullish,60.0,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum",8.0,2.32,,,Pharma / Healthcare,78.0,2.0,80.0,2.74,15.97,22.3,96.4,1031.39,423.19,1.0,32.21,0.0,,49.83,Neutral,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum"
NAUKRI,Communication Services,Internet Content & Information,1226.25,-1.43,35.42,14.11,66.66,1069.35,1150.03,0.62,Bullish,60.0,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum",15.0,19.5,,,Telecom,75.0,2.0,77.0,0.64,44.14,15.9,22.1,1076.43,873.98,1.0,24.73,0.0,,49.41,Neutral,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum"
HINDCOPPER,Basic Materials,Copper,491.6,2.36,118.32,35.22,49.38,506.02,488.87,2.44,Bearish,52.0,"Above 200 DMA, RSI recovering, Strong volume expansion, Strong positive day move",0.0,-0.68,,,Metals / Mining,87.0,4.0,91.0,3.32,29.84,58.1,136.6,1473.56,864.71,1.0,28.23,0.0,,49.08,Neutral,"Above 200 DMA, RSI recovering, Strong volume expansion, Strong positive day move"
PETRONET,Energy,Oil & Gas Refining & Marketing,280.75,0.66,20.67,12.99,54.99,276.56,275.82,0.55,Bullish,70.0,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Near 52W low zone, Positive day move",8.0,2.02,,,Energy / Utilities,78.0,4.0,82.0,10.51,8.99,-23.3,25.3,4750.04,1811.25,1.0,33.61,5.0,Revenue contraction,48.24,Neutral,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Near 52W low zone, Positive day move"
BHARTIARTL,Communication Services,Telecom Services,1972.0,0.78,14.73,8.17,67.19,1858.46,1927.63,1.09,Bullish,75.0,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Near 52W low zone, Normal volume support, Positive day move",8.0,5.17,,,Telecom,64.0,2.0,66.0,100.42,13.14,18.4,35.1,125174.4,63056.59,1.0,24.73,0.0,,47.56,Neutral,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Near 52W low zone, Normal volume support, Positive day move"
ENDURANCE,Consumer Cyclical,Auto Parts,2758.3,-1.24,29.25,10.07,56.83,2661.27,2572.95,1.15,Bullish,65.0,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Normal volume support",8.0,3.58,,,Automobile,68.0,2.0,70.0,19.39,6.52,37.9,12.7,1850.72,167.33,1.0,27.5,0.0,,46.88,Neutral,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Normal volume support"
APOLLOHOSP,Healthcare,Medical Care Facilities,8957.0,-0.34,33.93,0.88,61.88,8615.89,7759.49,1.02,Bullish,65.0,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Normal volume support",8.0,3.0,,,Pharma / Healthcare,62.0,2.0,64.0,85.15,7.7,18.1,35.6,2855.7,182.84,1.0,32.21,0.0,,45.48,Neutral,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Normal volume support"
ABBOTINDIA,Healthcare,Drug Manufacturers - Specialty & Generic,27800.0,0.89,13.12,18.94,63.84,26268.97,26841.15,0.49,Bullish,60.0,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W low zone, Positive day move",8.0,8.07,,,Pharma / Healthcare,72.0,4.0,76.0,3.6,22.4,6.5,7.6,1319.24,1351.75,1.0,32.21,3.0,Low volume participation,45.43,Neutral,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W low zone, Positive day move"
