symbol,sector,industry,current_price,day_change_pct,low_52w,high_52w,distance_from_low_pct,distance_from_high_pct,rsi,sma50,sma200,avg_volume_20d,latest_volume,volume_ratio,trend,technical_score,technical_reasons,return_1m,return_3m,return_6m,nifty_return_1m,nifty_return_3m,nifty_return_6m,return_vs_nifty_1m,return_vs_nifty_3m,return_vs_nifty_6m,relative_strength_score,relative_strength_reasons,sector_rank_pct,range_status,range_score,range_low,range_high,range_width_pct,range_position_pct,range_reasons,roe,roa,operating_margin,net_profit_margin,revenue_growth,earnings_growth,debt_to_equity,current_ratio,quick_ratio,total_cash_cr,total_debt_cr,operating_cashflow_cr,free_cashflow_cr,trailing_pe,forward_pe,price_to_book,dividend_yield,beta,market_cap_cr,gross_margin,sector_bucket,profitability_score,growth_score,balance_sheet_score,cashflow_score,valuation_score,fundamental_score,fundamental_data_coverage,fundamental_reasons,fundamental_risk_reasons,sector_adjustment,sector_adjusted_fundamental_score,sector_adjustment_reasons,sector_score,risk_penalty,risk_reasons,final_score,score_band,reasons
HEXT,Technology,Information Technology Services,843.38,-0.25,569.49,868.45,48.1,2.89,61.5,774.72,,533828.15,408537.0,0.77,Bullish,45.0,"Above 50 DMA, Healthy RSI momentum, Near 52W high momentum",5.46,27.87,,1.83,9.51,5.26,3.63,18.36,,43.0,"Positive 1M return, Strong 3M absolute return, 3M Nifty outperformance",35.14,Profit Booking Zone,78.9,650.41,822.79,26.5,100.0,80.2% of closes stayed inside the range | Range width 26.5% | Currently 100.0% through the range,6.55,4.09,13.4,11.65,1.65,16.11,10.03,1.69,,1908.6,581.9,467.2,423.2,25.995,20.3095,5.151,2.52,,34572.16,40.67,IT / Technology,6.0,8.0,16.0,17.0,11.0,58.0,0.93,Cash covers debt,,0.0,58.0,,31.73,0.0,,47.06,Neutral,"Above 50 DMA, Healthy RSI momentum, Near 52W high momentum, Cash covers debt, Positive 1M return, Strong 3M absolute return, 3M Nifty outperformance, 80.2% of closes stayed inside the range | Range width 26.5% | Currently 100.0% through the range"
POONAWALLA,Financial Services,Credit Services,472.55,1.32,240.66,517.51,96.36,8.69,76.91,410.42,358.52,2115792.65,4180934.0,1.98,Bullish,62.0,"Above 50 DMA, Above 200 DMA, Strong but overbought RSI, Near 52W high momentum, Volume expansion, Positive day move",12.22,30.36,47.01,1.83,9.51,5.26,10.39,20.85,41.75,100.0,"Strong 1M absolute return, Strong 3M absolute return, Strong 6M absolute return, 1M Nifty outperformance, 3M Nifty outperformance, 6M Nifty outperformance, Positive across 1M/3M/6M",2.75,Breakout Watch,78.84,286.19,426.43,49.01,100.0,80.0% of closes stayed inside the range | Range width 49.0% | Currently 100.0% through the range | Above upper band on elevated volume,,,20.72,5.02,-68.8,163.66,,,,,,,,50.6911,19.7165,3.7798,,0.318,42391.77,99.87,Financial Services,5.0,10.0,0.0,0.0,7.0,22.0,0.43,,Revenue contraction,0.0,22.0,,38.74,9.0,"Revenue contraction, Limited fundamental data coverage",45.01,Neutral,"Above 50 DMA, Above 200 DMA, Strong but overbought RSI, Near 52W high momentum, Volume expansion, Positive day move, Strong 1M absolute return, Strong 3M absolute return, Strong 6M absolute return, 1M Nifty outperformance, 3M Nifty outperformance, 6M Nifty outperformance, Positive across 1M/3M/6M, 80.0% of closes stayed inside the range | Range width 49.0% | Currently 100.0% through the range | Above upper band on elevated volume"
SCHAEFFLER,Consumer Cyclical,Auto Parts,3899.91,-2.08,2474.05,4869.38,57.63,19.91,46.75,3899.8,3518.63,50089.85,52851.0,1.06,Bullish,47.0,"Above 50 DMA, Above 200 DMA, RSI recovering, Normal volume support",-7.89,20.63,14.4,1.83,9.51,5.26,-9.72,11.12,9.14,45.0,"Strong 3M absolute return, Positive 6M return, 3M Nifty outperformance",25.89,Profit Booking Zone,75.34,3039.45,4077.75,34.16,82.87,80.0% of closes stayed inside the range | Range width 34.2% | Currently 82.9% through the range,5.28,3.93,14.85,12.2,8.19,14.1,1.01,2.55,1.67,664.4,54.99,,,51.4953,40.9915,10.512,84.0,0.118,64487.76,38.41,Automobile,8.0,10.0,20.0,0.0,7.0,45.0,0.86,Cash covers debt,,2.0,47.0,General low-debt support,32.12,0.0,,44.27,Weak,"Above 50 DMA, Above 200 DMA, RSI recovering, Normal volume support, Cash covers debt, Strong 3M absolute return, Positive 6M return, 3M Nifty outperformance, 80.0% of closes stayed inside the range | Range width 34.2% | Currently 82.9% through the range"
LTF,Financial Services,Credit Services,203.53,1.15,68.12,207.71,198.78,2.01,67.01,178.98,154.23,8427231.35,11136321.0,1.32,Bullish,75.0,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Volume expansion, Positive day move",8.35,35.69,46.26,1.83,9.51,5.26,6.52,26.18,41.0,98.0,"Positive 1M return, Strong 3M absolute return, Strong 6M absolute return, 1M Nifty outperformance, 3M Nifty outperformance, 6M Nifty outperformance, Positive across 1M/3M/6M",7.14,Breakout Watch,82.83,135.02,189.84,40.6,100.0,80.0% of closes stayed inside the range | Range width 40.6% | Currently 100.0% through the range | Above upper band on elevated volume,,,,27.67,-73.79,-73.48,,,,,,,,25.0158,16.2301,2.83,87.0,0.64,79491.77,99.53,Financial Services,6.0,0.0,0.0,0.0,13.0,19.0,0.43,,"Revenue contraction, Earnings contraction",0.0,19.0,,38.74,16.0,"Revenue contraction, Earnings contraction, Limited fundamental data coverage",39.71,Weak,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Volume expansion, Positive day move, Positive 1M return, Strong 3M absolute return, Strong 6M absolute return, 1M Nifty outperformance, 3M Nifty outperformance, 6M Nifty outperformance, Positive across 1M/3M/6M, 80.0% of closes stayed inside the range | Range width 40.6% | Currently 100.0% through the range | Above upper band on elevated volume"
AIIL,Financial Services,Capital Markets,513.58,-4.31,146.31,548.54,251.02,6.37,55.24,456.03,366.74,908231.25,703970.0,0.78,Bullish,60.0,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum",2.92,44.43,35.14,1.83,9.51,5.26,1.09,34.92,29.88,88.0,"Positive 1M return, Strong 3M absolute return, Strong 6M absolute return, 3M Nifty outperformance, 6M Nifty outperformance, Positive across 1M/3M/6M",14.84,Profit Booking Zone,75.69,302.24,505.23,67.16,100.0,80.0% of closes stayed inside the range | Range width 67.2% | Currently 100.0% through the range,,,93.35,77.6,-73.46,-77.77,,,,,,,,28.9713,,2.9231,4.0,-0.018,47115.03,97.86,Financial Services,12.0,0.0,0.0,0.0,10.0,22.0,0.5,,"Revenue contraction, Earnings contraction",0.0,22.0,,38.74,12.0,"Revenue contraction, Earnings contraction",38.51,Weak,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Positive 1M return, Strong 3M absolute return, Strong 6M absolute return, 3M Nifty outperformance, 6M Nifty outperformance, Positive across 1M/3M/6M, 80.0% of closes stayed inside the range | Range width 67.2% | Currently 100.0% through the range"
BHARTIHEXA,Communication Services,Telecom Services,1875.32,-1.15,740.06,2019.43,153.4,7.14,57.96,1742.21,1476.73,359890.95,132064.0,0.37,Bullish,60.0,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum",4.79,31.08,29.01,1.83,9.51,5.26,2.96,21.57,23.75,78.0,"Positive 1M return, Strong 3M absolute return, Positive 6M return, 3M Nifty outperformance, 6M Nifty outperformance, Positive across 1M/3M/6M",26.67,Profit Booking Zone,79.85,1292.93,1802.81,39.44,100.0,80.0% of closes stayed inside the range | Range width 39.4% | Currently 100.0% through the range,6.19,2.08,27.99,17.3,-73.53,-73.78,101.61,0.29,,35.1,6425.1,1343.7,1048.1,40.7012,23.3453,10.3696,1.19,0.085,74300.0,59.93,Telecom,11.0,0.0,2.0,17.0,6.0,36.0,0.93,,"Revenue contraction, Earnings contraction",0.0,36.0,,36.97,15.0,"Low volume participation, Revenue contraction, Earnings contraction",37.65,Weak,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Positive 1M return, Strong 3M absolute return, Positive 6M return, 3M Nifty outperformance, 6M Nifty outperformance, Positive across 1M/3M/6M, 80.0% of closes stayed inside the range | Range width 39.4% | Currently 100.0% through the range"
LAURUSLABS,Healthcare,Drug Manufacturers - Specialty & Generic,774.59,2.3,276.17,776.49,180.47,0.24,82.94,639.82,570.8,2429319.5,3230212.0,1.33,Bullish,67.0,"Above 50 DMA, Above 200 DMA, Strong but overbought RSI, Near 52W high momentum, Volume expansion, Strong positive day move",20.86,25.2,26.74,1.83,9.51,5.26,19.03,15.69,21.48,95.0,"Strong 1M absolute return, Strong 3M absolute return, Positive 6M return, 1M Nifty outperformance, 3M Nifty outperformance, 6M Nifty outperformance, Positive across 1M/3M/6M",4.17,Breakout Watch,83.92,544.96,665.6,22.14,100.0,80.0% of closes stayed inside the range | Range width 22.1% | Currently 100.0% through the range | Above upper band on elevated volume,,,16.9,10.39,-71.5,-54.5,,,,,,,,91.358,64.5153,18.8439,13.0,0.357,99957.76,59.45,Pharma / Healthcare,6.0,0.0,0.0,0.0,5.0,11.0,0.5,,"Revenue contraction, Earnings contraction, Very high PE",0.0,11.0,,33.96,12.0,"Revenue contraction, Earnings contraction",37.44,Weak,"Above 50 DMA, Above 200 DMA, Strong but overbought RSI, Near 52W high momentum, Volume expansion, Strong positive day move, Strong 1M absolute return, Strong 3M absolute return, Positive 6M return, 1M Nifty outperformance, 3M Nifty outperformance, 6M Nifty outperformance, Positive across 1M/3M/6M, 80.0% of closes stayed inside the range | Range width 22.1% | Currently 100.0% through the range | Above upper band on elevated volume"
GODFRYPHLP,Consumer Defensive,Tobacco,2826.53,-1.98,328.0,3134.07,761.74,9.81,56.91,2740.25,2143.78,467888.4,397077.0,0.85,Bullish,60.0,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum",6.22,23.72,68.38,1.83,9.51,5.26,4.39,14.21,63.12,88.0,"Positive 1M return, Strong 3M absolute return, Strong 6M absolute return, 3M Nifty outperformance, 6M Nifty outperformance, Positive across 1M/3M/6M",4.17,Profit Booking Zone,71.89,1461.22,2813.37,92.54,100.0,80.0% of closes stayed inside the range | Range width 92.5% | Currently 100.0% through the range,,,20.99,24.17,-73.57,-66.76,,,,,,,,25.0856,19.6164,5.5211,2.25,0.33,34300.39,43.61,FMCG / Consumer,11.0,0.0,0.0,0.0,11.0,22.0,0.5,,"Revenue contraction, Earnings contraction",0.0,22.0,,29.76,12.0,"Revenue contraction, Earnings contraction",37.16,Weak,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Positive 1M return, Strong 3M absolute return, Strong 6M absolute return, 3M Nifty outperformance, 6M Nifty outperformance, Positive across 1M/3M/6M, 80.0% of closes stayed inside the range | Range width 92.5% | Currently 100.0% through the range"
NH,Healthcare,Medical Care Facilities,2002.24,0.27,668.13,2359.4,199.68,15.14,55.67,1836.22,1488.65,773188.6,427579.0,0.55,Bullish,55.0,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Positive day move",14.89,20.92,54.69,1.83,9.51,5.26,13.06,11.41,49.43,100.0,"Strong 1M absolute return, Strong 3M absolute return, Strong 6M absolute return, 1M Nifty outperformance, 3M Nifty outperformance, 6M Nifty outperformance, Positive across 1M/3M/6M",2.08,Profit Booking Zone,78.15,1319.02,1896.13,43.75,100.0,80.0% of closes stayed inside the range | Range width 43.8% | Currently 100.0% through the range,,,16.76,13.05,-72.41,-75.11,,,,,,,,45.2285,26.3467,8.1974,24.0,,37193.68,39.83,Pharma / Healthcare,8.0,0.0,0.0,0.0,7.0,15.0,0.5,,"Revenue contraction, Earnings contraction",0.0,15.0,,33.96,12.0,"Revenue contraction, Earnings contraction",37.09,Weak,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Positive day move, Strong 1M absolute return, Strong 3M absolute return, Strong 6M absolute return, 1M Nifty outperformance, 3M Nifty outperformance, 6M Nifty outperformance, Positive across 1M/3M/6M, 80.0% of closes stayed inside the range | Range width 43.8% | Currently 100.0% through the range"
ASTERDM,Healthcare,Medical Care Facilities,629.34,-2.6,151.5,670.94,315.4,6.2,66.34,559.53,478.59,2245192.05,4439670.0,1.98,Bullish,70.0,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Volume expansion",9.49,30.04,22.3,1.83,9.51,5.26,7.66,20.53,17.04,88.0,"Positive 1M return, Strong 3M absolute return, Positive 6M return, 1M Nifty outperformance, 3M Nifty outperformance, 6M Nifty outperformance, Positive across 1M/3M/6M",6.25,Breakout Watch,81.92,414.92,579.47,39.66,100.0,80.0% of closes stayed inside the range | Range width 39.7% | Currently 100.0% through the range | Above upper band on elevated volume,,,13.37,7.93,-73.95,-98.41,,,,,,,,138.9178,42.5242,9.3243,47.0,-0.059,72170.12,58.62,Pharma / Healthcare,6.0,0.0,0.0,0.0,5.0,11.0,0.5,,"Revenue contraction, Earnings contraction, Very high PE",0.0,11.0,,33.96,12.0,"Revenue contraction, Earnings contraction",36.44,Weak,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Volume expansion, Positive 1M return, Strong 3M absolute return, Positive 6M return, 1M Nifty outperformance, 3M Nifty outperformance, 6M Nifty outperformance, Positive across 1M/3M/6M, 80.0% of closes stayed inside the range | Range width 39.7% | Currently 100.0% through the range | Above upper band on elevated volume"
