symbol,sector,industry,current_price,day_change_pct,low_52w,high_52w,distance_from_low_pct,distance_from_high_pct,rsi,sma50,sma200,avg_volume_20d,latest_volume,volume_ratio,trend,technical_score,technical_reasons,return_1m,return_3m,return_6m,nifty_return_1m,nifty_return_3m,nifty_return_6m,return_vs_nifty_1m,return_vs_nifty_3m,return_vs_nifty_6m,relative_strength_score,relative_strength_reasons,sector_rank_pct,range_status,range_score,range_low,range_high,range_width_pct,range_position_pct,range_reasons,roe,roa,operating_margin,net_profit_margin,revenue_growth,earnings_growth,debt_to_equity,current_ratio,quick_ratio,total_cash_cr,total_debt_cr,operating_cashflow_cr,free_cashflow_cr,trailing_pe,forward_pe,price_to_book,dividend_yield,beta,market_cap_cr,gross_margin,sector_bucket,profitability_score,growth_score,balance_sheet_score,cashflow_score,valuation_score,fundamental_score,fundamental_data_coverage,fundamental_reasons,fundamental_risk_reasons,sector_adjustment,sector_adjusted_fundamental_score,sector_adjustment_reasons,sector_score,risk_penalty,risk_reasons,final_score,score_band,reasons
HINDCOPPER,Basic Materials,Copper,362.92,-2.25,92.4,411.82,292.78,11.87,63.02,337.22,263.53,13670759.15,22042865.0,1.61,Bullish,70.0,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Volume expansion",7.56,48.74,41.14,1.51,4.79,3.42,6.05,43.95,37.72,98.0,"Positive 1M return, Strong 3M absolute return, Strong 6M absolute return, 1M Nifty outperformance, 3M Nifty outperformance, 6M Nifty outperformance, Positive across 1M/3M/6M",1.72,Breakout Watch,81.37,238.54,341.83,43.3,100.0,80.0% of closes stayed inside the range | Range width 43.3% | Currently 100.0% through the range | Above upper band on elevated volume,6.16,4.76,33.17,25.6,39.06,36.9,4.78,1.37,0.84,104.87,142.41,,,45.4523,27.1139,15.8616,46.0,,52963.9,91.1,Metals / Mining,12.0,20.0,11.0,0.0,7.0,50.0,0.86,,,2.0,52.0,General low-debt support,20.64,0.0,,63.3,Watchlist,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Volume expansion, Positive 1M return, Strong 3M absolute return, Strong 6M absolute return, 1M Nifty outperformance, 3M Nifty outperformance, 6M Nifty outperformance, Positive across 1M/3M/6M, 80.0% of closes stayed inside the range | Range width 43.3% | Currently 100.0% through the range | Above upper band on elevated volume"
NATIONALUM,Basic Materials,Aluminum,263.72,-1.76,56.5,271.43,366.75,2.84,66.84,234.31,190.93,11306606.65,7786865.0,0.69,Bullish,60.0,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum",5.85,30.9,47.21,1.51,4.79,3.42,4.34,26.11,43.79,88.0,"Positive 1M return, Strong 3M absolute return, Strong 6M absolute return, 3M Nifty outperformance, 6M Nifty outperformance, Positive across 1M/3M/6M",5.17,Profit Booking Zone,79.35,179.04,255.57,42.75,100.0,80.0% of closes stayed inside the range | Range width 42.7% | Currently 100.0% through the range,7.21,5.72,40.65,33.31,12.75,36.25,0.28,2.95,2.4,95.36,55.88,,,10.5607,10.8213,3.5699,1.03,0.709,77138.53,71.34,Metals / Mining,14.0,15.0,20.0,0.0,9.0,58.0,0.86,Cash covers debt,,2.0,60.0,General low-debt support,20.64,0.0,,61.1,Watchlist,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Cash covers debt, Positive 1M return, Strong 3M absolute return, Strong 6M absolute return, 3M Nifty outperformance, 6M Nifty outperformance, Positive across 1M/3M/6M, 80.0% of closes stayed inside the range | Range width 42.7% | Currently 100.0% through the range"
ASIANPAINT,Basic Materials,Specialty Chemicals,2903.11,-1.35,2083.96,3454.02,39.31,15.95,69.94,2593.56,2401.48,1726190.5,983544.0,0.57,Bullish,50.0,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum",10.66,15.89,31.68,1.51,4.79,3.42,9.15,11.1,28.26,95.0,"Strong 1M absolute return, Positive 3M return, Strong 6M absolute return, 1M Nifty outperformance, 3M Nifty outperformance, 6M Nifty outperformance, Positive across 1M/3M/6M",3.45,Profit Booking Zone,80.17,2312.67,2851.14,23.28,100.0,80.0% of closes stayed inside the range | Range width 23.3% | Currently 100.0% through the range,5.07,3.17,14.08,11.67,-4.6,-9.65,18.17,2.18,1.45,599.04,3557.09,,,55.0311,45.2244,12.2976,1.01,0.289,262668.52,43.53,Chemicals,6.0,0.0,16.0,0.0,6.0,28.0,0.86,,"Revenue contraction, Earnings contraction",2.0,30.0,General low-debt support,20.64,0.0,,49.85,Neutral,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Strong 1M absolute return, Positive 3M return, Strong 6M absolute return, 1M Nifty outperformance, 3M Nifty outperformance, 6M Nifty outperformance, Positive across 1M/3M/6M, 80.0% of closes stayed inside the range | Range width 23.3% | Currently 100.0% through the range"
LTM,Technology,Information Technology Services,6173.27,-0.57,3703.55,6592.7,66.69,6.36,69.86,5598.75,5070.91,323546.5,253030.0,0.78,Bullish,60.0,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum",10.86,23.42,19.45,1.51,4.79,3.42,9.35,18.63,16.03,95.0,"Strong 1M absolute return, Strong 3M absolute return, Positive 6M return, 1M Nifty outperformance, 3M Nifty outperformance, 6M Nifty outperformance, Positive across 1M/3M/6M",2.7,Profit Booking Zone,83.37,5017.76,5818.38,15.96,100.0,80.0% of closes stayed inside the range | Range width 16.0% | Currently 100.0% through the range,5.53,4.08,14.29,12.74,-74.11,-72.73,9.82,3.36,3.36,1879.5,2227.5,1032.9,1032.9,27.0482,20.7158,5.7545,1.55,0.261,141177.8,29.77,IT / Technology,8.0,0.0,17.0,17.0,10.0,52.0,1.0,,"Revenue contraction, Earnings contraction",0.0,52.0,,26.29,12.0,"Revenue contraction, Earnings contraction",48.89,Neutral,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Strong 1M absolute return, Strong 3M absolute return, Positive 6M return, 1M Nifty outperformance, 3M Nifty outperformance, 6M Nifty outperformance, Positive across 1M/3M/6M, 80.0% of closes stayed inside the range | Range width 16.0% | Currently 100.0% through the range"
MUTHOOTFIN,Financial Services,Credit Services,3744.04,-0.64,861.43,3800.86,334.63,1.49,64.9,3359.36,2662.61,654723.95,452775.0,0.69,Bullish,60.0,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum",13.45,30.16,48.66,1.51,4.79,3.42,11.94,25.37,45.24,100.0,"Strong 1M absolute return, Strong 3M absolute return, Strong 6M absolute return, 1M Nifty outperformance, 3M Nifty outperformance, 6M Nifty outperformance, Positive across 1M/3M/6M",1.09,Profit Booking Zone,79.58,2595.78,3666.91,41.26,100.0,80.0% of closes stayed inside the range | Range width 41.3% | Currently 100.0% through the range,7.38,1.51,,50.84,15.83,20.06,373.89,,,8120.6,122704.66,,,10.2879,9.0103,2.951,1.03,0.529,115474.38,100.0,Financial Services,6.0,16.0,0.0,0.0,14.0,36.0,0.64,,Very high debt,1.0,37.0,"High leverage is structural for this sector, Weak ROE for a leveraged-balance-sheet business",25.68,8.0,Very high debt,48.8,Neutral,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Strong 1M absolute return, Strong 3M absolute return, Strong 6M absolute return, 1M Nifty outperformance, 3M Nifty outperformance, 6M Nifty outperformance, Positive across 1M/3M/6M, 80.0% of closes stayed inside the range | Range width 41.3% | Currently 100.0% through the range"
INFY,Technology,Information Technology Services,1576.68,-0.33,1064.05,1907.5,48.18,17.34,68.09,1468.46,1488.53,10137540.55,7550413.0,0.74,Bullish,50.0,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum",6.43,14.14,3.98,1.51,4.79,3.42,4.92,9.35,0.56,38.0,"Positive 1M return, Positive 3M return, Positive 6M return, Positive across 1M/3M/6M",31.08,Profit Booking Zone,81.88,1392.41,1558.15,11.9,100.0,80.0% of closes stayed inside the range | Range width 11.9% | Currently 100.0% through the range,7.21,4.64,20.98,16.53,2.73,3.71,8.48,2.28,,353.9,98.6,115.7,110.1,15.4324,14.7125,5.1946,4.2,0.107,476334.99,29.68,IT / Technology,10.0,2.0,17.0,17.0,13.0,59.0,0.93,Cash covers debt,,5.0,64.0,Strong operating margin,26.29,0.0,,48.34,Neutral,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Cash covers debt, Positive 1M return, Positive 3M return, Positive 6M return, Positive across 1M/3M/6M, 80.0% of closes stayed inside the range | Range width 11.9% | Currently 100.0% through the range"
EICHERMOT,Consumer Cyclical,Auto Manufacturers,7067.98,-0.92,2710.4,7209.01,160.77,1.96,56.38,6905.82,5841.26,570810.75,273509.0,0.48,Bullish,60.0,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum",4.01,4.8,34.2,1.51,4.79,3.42,2.5,0.01,30.78,63.0,"Positive 1M return, Positive 3M return, Strong 6M absolute return, 6M Nifty outperformance, Positive across 1M/3M/6M",9.84,Profit Booking Zone,81.43,5411.38,6974.61,28.89,100.0,80.0% of closes stayed inside the range | Range width 28.9% | Currently 100.0% through the range,6.2,4.73,21.62,22.56,22.76,13.63,2.02,1.59,1.22,249.18,445.78,,,38.2557,29.6311,8.7966,1.03,0.226,220962.51,42.31,Automobile,11.0,13.0,15.0,0.0,6.0,45.0,0.86,,,2.0,47.0,General low-debt support,24.44,3.0,Low volume participation,47.87,Neutral,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Positive 1M return, Positive 3M return, Strong 6M absolute return, 6M Nifty outperformance, Positive across 1M/3M/6M, 80.0% of closes stayed inside the range | Range width 28.9% | Currently 100.0% through the range"
WIPRO,Technology,Information Technology Services,251.92,0.57,162.77,305.88,54.77,17.64,73.5,236.18,242.8,8907050.65,9684253.0,1.09,Bullish,47.0,"Above 50 DMA, Above 200 DMA, Strong but overbought RSI, Normal volume support, Positive day move",8.98,7.78,6.06,1.51,4.79,3.42,7.47,2.99,2.64,48.0,"Positive 1M return, Positive 3M return, Positive 6M return, 1M Nifty outperformance, Positive across 1M/3M/6M",24.32,Profit Booking Zone,82.79,232.19,251.07,8.13,100.0,80.8% of closes stayed inside the range | Range width 8.1% | Currently 100.0% through the range,3.77,2.48,16.42,14.3,2.54,-2.53,18.78,2.26,2.25,13083.7,16163.7,3387.2,3050.0,14.6683,13.2285,2.3486,4.33,0.394,181959.9,29.04,IT / Technology,8.0,0.0,17.0,17.0,15.0,57.0,1.0,,Earnings contraction,0.0,57.0,,26.29,0.0,,47.64,Neutral,"Above 50 DMA, Above 200 DMA, Strong but overbought RSI, Normal volume support, Positive day move, Positive 1M return, Positive 3M return, Positive 6M return, 1M Nifty outperformance, Positive across 1M/3M/6M, 80.8% of closes stayed inside the range | Range width 8.1% | Currently 100.0% through the range"
HEROMOTOCO,Consumer Cyclical,Auto Manufacturers,5961.41,-2.89,2004.26,6175.52,197.44,3.47,62.46,5505.09,4453.78,807400.55,707514.0,0.88,Bullish,60.0,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum",15.07,13.3,43.93,1.51,4.79,3.42,13.56,8.51,40.51,80.0,"Strong 1M absolute return, Positive 3M return, Strong 6M absolute return, 1M Nifty outperformance, 6M Nifty outperformance, Positive across 1M/3M/6M",4.92,Profit Booking Zone,79.63,4104.48,5784.27,40.93,100.0,80.0% of closes stayed inside the range | Range width 40.9% | Currently 100.0% through the range,6.23,4.01,13.54,10.71,25.6,-23.25,3.42,1.89,1.62,297.18,718.07,,,21.5516,18.1039,5.458,3.15,0.468,117983.24,31.65,Automobile,6.0,10.0,16.0,0.0,11.0,43.0,0.86,,Earnings contraction,2.0,45.0,General low-debt support,24.44,7.0,Earnings contraction,47.42,Neutral,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Strong 1M absolute return, Positive 3M return, Strong 6M absolute return, 1M Nifty outperformance, 6M Nifty outperformance, Positive across 1M/3M/6M, 80.0% of closes stayed inside the range | Range width 40.9% | Currently 100.0% through the range"
BSE,Financial Services,Financial Data & Stock Exchanges,2791.45,-0.61,131.96,3022.04,2015.3,7.63,55.31,2548.43,2304.43,4658355.4,5899411.0,1.27,Bullish,65.0,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Normal volume support",6.61,19.29,-6.53,1.51,4.79,3.42,5.1,14.5,-9.95,43.0,"Positive 1M return, Positive 3M return, 1M Nifty outperformance, 3M Nifty outperformance",21.74,Profit Booking Zone,82.03,2174.47,2808.92,29.18,97.25,80.0% of closes stayed inside the range | Range width 29.2% | Currently 97.2% through the range,10.72,5.01,60.63,52.27,11.53,3.53,0.0,1.68,,862.41,0.02,,,51.2199,37.9807,18.1646,28.0,0.471,143241.73,99.59,Financial Services,16.0,7.0,16.0,0.0,7.0,46.0,0.79,Cash covers debt,,-4.0,42.0,Expensive relative to book value for this sector,25.68,0.0,,45.55,Neutral,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Normal volume support, Cash covers debt, Positive 1M return, Positive 3M return, 1M Nifty outperformance, 3M Nifty outperformance, 80.0% of closes stayed inside the range | Range width 29.2% | Currently 97.2% through the range"
IDEA,Communication Services,Telecom Services,10.29,-4.72,5.7,19.18,80.53,46.35,54.53,9.53,7.81,569088356.05,847991012.0,1.49,Bullish,60.0,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Volume expansion",8.32,41.15,45.96,1.51,4.79,3.42,6.81,36.36,42.54,98.0,"Positive 1M return, Strong 3M absolute return, Strong 6M absolute return, 1M Nifty outperformance, 3M Nifty outperformance, 6M Nifty outperformance, Positive across 1M/3M/6M",6.67,Profit Booking Zone,78.57,6.56,10.13,54.48,100.0,80.8% of closes stayed inside the range | Range width 54.5% | Currently 100.0% through the range,6.7,-2.93,-7.9,-49.46,1.47,16.4,-282.85,0.46,0.46,868.1,233241.8,,,3.6885,-8.9483,-4.0872,,0.436,146263.1,45.2,Telecom,0.0,8.0,9.0,0.0,8.0,25.0,0.79,,Negative net margin,2.0,27.0,General low-debt support,25.1,8.0,Negative net margin,44.72,Weak,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Volume expansion, Positive 1M return, Strong 3M absolute return, Strong 6M absolute return, 1M Nifty outperformance, 3M Nifty outperformance, 6M Nifty outperformance, Positive across 1M/3M/6M, 80.8% of closes stayed inside the range | Range width 54.5% | Currently 100.0% through the range"
