symbol,sector,industry,current_price,day_change_pct,low_52w,high_52w,distance_from_low_pct,distance_from_high_pct,rsi,sma50,sma200,avg_volume_20d,latest_volume,volume_ratio,trend,technical_score,technical_reasons,return_1m,return_3m,return_6m,nifty_return_1m,nifty_return_3m,nifty_return_6m,return_vs_nifty_1m,return_vs_nifty_3m,return_vs_nifty_6m,relative_strength_score,relative_strength_reasons,sector_rank_pct,range_status,range_score,range_low,range_high,range_width_pct,range_position_pct,range_reasons,roe,roa,operating_margin,net_profit_margin,revenue_growth,earnings_growth,debt_to_equity,current_ratio,quick_ratio,total_cash_cr,total_debt_cr,operating_cashflow_cr,free_cashflow_cr,trailing_pe,forward_pe,price_to_book,dividend_yield,beta,market_cap_cr,gross_margin,sector_bucket,profitability_score,growth_score,balance_sheet_score,cashflow_score,valuation_score,fundamental_score,fundamental_data_coverage,fundamental_reasons,fundamental_risk_reasons,sector_adjustment,sector_adjusted_fundamental_score,sector_adjustment_reasons,sector_score,risk_penalty,risk_reasons,final_score,score_band,reasons
NATIONALUM,Basic Materials,Aluminum,261.9,0.51,56.5,263.62,363.53,0.65,70.43,230.49,189.59,14406882.6,10320888.0,0.72,Bullish,52.0,"Above 50 DMA, Above 200 DMA, Strong but overbought RSI, Near 52W high momentum, Positive day move",15.97,32.16,49.81,1.52,5.14,5.55,14.45,27.02,44.26,100.0,"Strong 1M absolute return, Strong 3M absolute return, Strong 6M absolute return, 1M Nifty outperformance, 3M Nifty outperformance, 6M Nifty outperformance, Positive across 1M/3M/6M",1.72,Profit Booking Zone,77.89,178.92,252.89,41.34,100.0,80.0% of closes stayed inside the range | Range width 41.3% | Currently 100.0% through the range,7.21,5.72,40.65,33.31,12.75,36.25,0.28,2.95,2.4,95.36,55.88,,,10.5607,10.8213,3.5699,1.03,0.709,77138.53,71.34,Metals / Mining,14.0,15.0,20.0,0.0,9.0,58.0,0.86,Cash covers debt,,2.0,60.0,General low-debt support,22.32,0.0,,62.35,Watchlist,"Above 50 DMA, Above 200 DMA, Strong but overbought RSI, Near 52W high momentum, Positive day move, Cash covers debt, Strong 1M absolute return, Strong 3M absolute return, Strong 6M absolute return, 1M Nifty outperformance, 3M Nifty outperformance, 6M Nifty outperformance, Positive across 1M/3M/6M, 80.0% of closes stayed inside the range | Range width 41.3% | Currently 100.0% through the range"
HINDCOPPER,Basic Materials,Copper,338.66,0.18,92.4,411.82,266.52,17.77,55.16,333.46,261.42,8534643.5,9381813.0,1.1,Bullish,60.0,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Normal volume support, Positive day move",2.05,37.5,34.7,1.52,5.14,5.55,0.53,32.36,29.15,88.0,"Positive 1M return, Strong 3M absolute return, Strong 6M absolute return, 3M Nifty outperformance, 6M Nifty outperformance, Positive across 1M/3M/6M",5.17,Profit Booking Zone,78.89,238.54,341.43,43.13,97.31,80.0% of closes stayed inside the range | Range width 43.1% | Currently 97.3% through the range,6.16,4.76,33.17,25.6,39.06,36.9,4.78,1.37,0.84,104.87,142.41,,,45.4523,27.1139,15.8616,46.0,,52963.9,91.1,Metals / Mining,12.0,20.0,11.0,0.0,7.0,50.0,0.86,,,2.0,52.0,General low-debt support,22.32,0.0,,58.55,Watchlist,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Normal volume support, Positive day move, Positive 1M return, Strong 3M absolute return, Strong 6M absolute return, 3M Nifty outperformance, 6M Nifty outperformance, Positive across 1M/3M/6M, 80.0% of closes stayed inside the range | Range width 43.1% | Currently 97.3% through the range"
DRREDDY,Healthcare,Drug Manufacturers - Specialty & Generic,1272.63,0.43,778.62,1403.63,63.45,9.33,64.52,1240.3,1221.68,1836607.0,4969448.0,2.71,Bullish,80.0,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Strong volume expansion, Positive day move",6.72,1.47,2.95,1.52,5.14,5.55,5.2,-3.67,-2.6,48.0,"Positive 1M return, Positive 3M return, Positive 6M return, 1M Nifty outperformance, Positive across 1M/3M/6M",18.37,Neutral Range,83.94,1211.35,1302.32,7.51,67.36,80.0% of closes stayed inside the range | Range width 7.5% | Currently 67.4% through the range,4.01,2.65,20.29,16.32,3.04,1.37,16.33,1.85,1.35,990.6,5853.9,1557.3,543.8,30.1735,20.2046,2.607,66.0,0.242,99960.01,50.18,Pharma / Healthcare,10.0,2.0,15.0,17.0,13.0,57.0,1.0,,,2.0,59.0,General low-debt support,28.65,0.0,,56.95,Watchlist,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Strong volume expansion, Positive day move, Positive 1M return, Positive 3M return, Positive 6M return, 1M Nifty outperformance, Positive across 1M/3M/6M, 80.0% of closes stayed inside the range | Range width 7.5% | Currently 67.4% through the range"
WIPRO,Technology,Information Technology Services,245.48,1.81,162.77,305.88,50.81,19.75,66.09,235.53,243.45,8555585.55,17215454.0,2.01,Bullish,70.0,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Strong volume expansion, Positive day move",7.05,2.06,5.2,1.52,5.14,5.55,5.53,-3.08,-0.35,48.0,"Positive 1M return, Positive 3M return, Positive 6M return, 1M Nifty outperformance, Positive across 1M/3M/6M",32.43,Neutral Range,83.49,232.19,250.58,7.92,72.24,80.8% of closes stayed inside the range | Range width 7.9% | Currently 72.2% through the range,3.77,2.48,16.42,14.3,2.54,-2.53,18.78,2.26,2.25,13083.7,16163.7,3387.2,3050.0,14.6683,13.2285,2.3486,4.33,0.394,181959.9,29.04,IT / Technology,8.0,0.0,17.0,17.0,15.0,57.0,1.0,,Earnings contraction,0.0,57.0,,29.52,0.0,,53.88,Neutral,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Strong volume expansion, Positive day move, Positive 1M return, Positive 3M return, Positive 6M return, 1M Nifty outperformance, Positive across 1M/3M/6M, 80.8% of closes stayed inside the range | Range width 7.9% | Currently 72.2% through the range"
INFY,Technology,Information Technology Services,1545.26,1.13,1064.05,1907.5,45.23,18.99,63.71,1460.61,1491.45,9937227.0,12895312.0,1.3,Bullish,60.0,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Normal volume support, Positive day move",7.55,8.37,3.33,1.52,5.14,5.55,6.03,3.23,-2.22,48.0,"Positive 1M return, Positive 3M return, Positive 6M return, 1M Nifty outperformance, Positive across 1M/3M/6M",32.43,Profit Booking Zone,82.93,1392.41,1556.95,11.82,92.9,80.0% of closes stayed inside the range | Range width 11.8% | Currently 92.9% through the range,7.21,4.64,20.98,16.53,2.73,3.71,8.48,2.28,,353.9,98.6,115.7,110.1,15.4324,14.7125,5.1946,4.2,0.107,476334.99,29.68,IT / Technology,10.0,2.0,17.0,17.0,13.0,59.0,0.93,Cash covers debt,,5.0,64.0,Strong operating margin,29.52,0.0,,53.83,Neutral,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Normal volume support, Positive day move, Cash covers debt, Positive 1M return, Positive 3M return, Positive 6M return, 1M Nifty outperformance, Positive across 1M/3M/6M, 80.0% of closes stayed inside the range | Range width 11.8% | Currently 92.9% through the range"
GLENMARK,Healthcare,Drug Manufacturers - Specialty & Generic,1965.9,-0.64,356.64,2279.21,451.22,13.75,62.36,1900.04,1732.08,1311931.4,1004563.0,0.77,Bullish,60.0,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum",6.55,-1.68,30.27,1.52,5.14,5.55,5.03,-6.82,24.72,53.0,"Positive 1M return, Strong 6M absolute return, 1M Nifty outperformance, 6M Nifty outperformance",13.27,Neutral Range,75.78,1747.33,2138.97,22.41,55.81,80.0% of closes stayed inside the range | Range width 22.4% | Currently 55.8% through the range,6.37,3.21,36.95,10.17,96.25,1202.2,12.78,1.65,1.17,2646.84,1224.18,,,35.9328,23.447,6.1481,33.0,0.248,64629.45,71.94,Pharma / Healthcare,9.0,20.0,18.0,0.0,7.0,54.0,0.86,Cash covers debt,,2.0,56.0,General low-debt support,28.65,0.0,,52.15,Neutral,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Cash covers debt, Positive 1M return, Strong 6M absolute return, 1M Nifty outperformance, 6M Nifty outperformance, 80.0% of closes stayed inside the range | Range width 22.4% | Currently 55.8% through the range"
EICHERMOT,Consumer Cyclical,Auto Manufacturers,7008.11,-0.44,2710.4,7209.01,158.56,2.79,54.6,6895.89,5806.64,584608.15,333674.0,0.57,Bullish,60.0,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum",2.19,11.14,34.85,1.52,5.14,5.55,0.67,6.0,29.3,63.0,"Positive 1M return, Positive 3M return, Strong 6M absolute return, 6M Nifty outperformance, Positive across 1M/3M/6M",18.03,Profit Booking Zone,81.3,5353.74,6948.93,29.8,100.0,80.0% of closes stayed inside the range | Range width 29.8% | Currently 100.0% through the range,6.2,4.73,21.62,22.56,22.76,13.63,2.02,1.59,1.22,249.18,445.78,,,38.2557,29.6311,8.7966,1.03,0.226,220962.51,42.31,Automobile,11.0,13.0,15.0,0.0,6.0,45.0,0.86,,,2.0,47.0,General low-debt support,28.78,0.0,,51.52,Neutral,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Positive 1M return, Positive 3M return, Strong 6M absolute return, 6M Nifty outperformance, Positive across 1M/3M/6M, 80.0% of closes stayed inside the range | Range width 29.8% | Currently 100.0% through the range"
SIEMENS,Industrials,Specialty Industrial Machinery,3313.62,-0.93,1540.11,4732.24,115.15,29.98,63.63,3148.41,3088.8,467113.15,368000.0,0.79,Bullish,50.0,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum",6.74,3.67,0.62,1.52,5.14,5.55,5.22,-1.47,-4.93,48.0,"Positive 1M return, Positive 3M return, Positive 6M return, 1M Nifty outperformance, Positive across 1M/3M/6M",10.92,Profit Booking Zone,82.46,3048.51,3294.16,8.06,100.0,80.0% of closes stayed inside the range | Range width 8.1% | Currently 100.0% through the range,15.91,10.53,9.94,12.12,299.47,397.56,1.1,2.54,2.21,2150.4,145.3,374.7,-5.7,84.7533,59.3557,10.3412,45.0,0.57,143124.83,28.2,Capital Goods / Infra,13.0,20.0,20.0,9.0,5.0,67.0,1.0,Cash covers debt,"Negative free cash flow, Very high PE",5.0,72.0,Strong order-book-driven revenue growth,24.23,4.0,Negative free cash flow,49.33,Neutral,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Cash covers debt, Positive 1M return, Positive 3M return, Positive 6M return, 1M Nifty outperformance, Positive across 1M/3M/6M, 80.0% of closes stayed inside the range | Range width 8.1% | Currently 100.0% through the range"
BSE,Financial Services,Financial Data & Stock Exchanges,2743.87,-3.24,131.96,3022.04,1979.25,9.2,52.0,2508.04,2288.82,5526412.8,3311445.0,0.6,Bullish,60.0,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum",10.19,24.26,-1.64,1.52,5.14,5.55,8.67,19.12,-7.19,60.0,"Strong 1M absolute return, Strong 3M absolute return, 1M Nifty outperformance, 3M Nifty outperformance",15.76,Profit Booking Zone,79.95,2174.47,2805.33,29.01,90.26,80.0% of closes stayed inside the range | Range width 29.0% | Currently 90.3% through the range,10.72,5.01,60.63,52.27,11.53,3.53,0.0,1.68,,862.41,0.02,,,51.2199,37.9807,18.1646,28.0,0.471,143241.73,99.59,Financial Services,16.0,7.0,16.0,0.0,7.0,46.0,0.79,Cash covers debt,,-4.0,42.0,Expensive relative to book value for this sector,27.41,0.0,,48.81,Neutral,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Near 52W high momentum, Cash covers debt, Strong 1M absolute return, Strong 3M absolute return, 1M Nifty outperformance, 3M Nifty outperformance, 80.0% of closes stayed inside the range | Range width 29.0% | Currently 90.3% through the range"
HEROMOTOCO,Consumer Cyclical,Auto Manufacturers,6004.42,-0.94,2004.26,6128.64,199.58,2.03,72.94,5451.34,4419.57,775256.05,543787.0,0.7,Bullish,47.0,"Above 50 DMA, Above 200 DMA, Strong but overbought RSI, Near 52W high momentum",17.0,16.12,50.11,1.52,5.14,5.55,15.48,10.98,44.56,95.0,"Strong 1M absolute return, Positive 3M return, Strong 6M absolute return, 1M Nifty outperformance, 3M Nifty outperformance, 6M Nifty outperformance, Positive across 1M/3M/6M",4.1,Profit Booking Zone,77.55,4104.48,5605.29,36.57,100.0,80.0% of closes stayed inside the range | Range width 36.6% | Currently 100.0% through the range,6.23,4.01,13.54,10.71,25.6,-23.25,3.42,1.89,1.62,297.18,718.07,,,21.5516,18.1039,5.458,3.15,0.468,117983.24,31.65,Automobile,6.0,10.0,16.0,0.0,11.0,43.0,0.86,,Earnings contraction,2.0,45.0,General low-debt support,28.78,7.0,Earnings contraction,48.57,Neutral,"Above 50 DMA, Above 200 DMA, Strong but overbought RSI, Near 52W high momentum, Strong 1M absolute return, Positive 3M return, Strong 6M absolute return, 1M Nifty outperformance, 3M Nifty outperformance, 6M Nifty outperformance, Positive across 1M/3M/6M, 80.0% of closes stayed inside the range | Range width 36.6% | Currently 100.0% through the range"
